oxstate,spinmult,charge_lig,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all
2,1,0,123.6405,233.4184,466.11,924.88,1720,4376,5608,2008,23,44,90,160,134,384,622,584,9.3131,25.8236,45.563,55.9144,21.5136,30.272,9.68,0.0,66.0,32,2,0,3.0,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0.0,19.3161,28.908,29.04,0.0,228,90,6,0,4,6,6,0,12,18,6,0,1.5343,2.3532,0.8214,0.0,11.8336,15.136,0.0,0.0,64.0,16.0,0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.5329,0.5402,0.0,0.0,4.7961,14.454,0.0,0.0,225,45,0.0,0.0,3,0.0,0.0,9,9.0,0.0,0.0,1.1236,1.1766,0.0,0.0,2.48,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.72,0.0,0.0,-0.03,0.0,0.0,42,0.0,0.0,6.0,0.0,0.0,2.07,0.0,0.0,3.3489,28.6212,64.416,0.0,676,1976,416,0,16,0,132,96,0,1.5625,7.125,7.4,0.0,-4.66,-5.92,0.0,80,400,0,14,80,0,1.8,14.08,0.0
3,4,-4,123.4344,174.21599999999998,310.574,587.552,1232,2560,3632,3200,13,24,42,60,66,168,192,120,8.2477,18.16,28.2994,33.141999999999996,23.6672,23.6672,0.0,0.0,128.0,128,0,0,2.0,2,0,0,2,2,0,0,1.0658,1.0658,0.0,0.0,18.3361,17.544,0.0,0.0,100,96,0,0,2,2,0,0,2,2,0,0,1.1258,1.1242,0.0,0.0,11.8336,11.8336,0.0,0.0,64.0,64.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5329,0.5329,0.0,0.0,6.5025,8.772,0.0,0.0,36,48,0.0,0.0,1,0.0,0.0,1,1.0,0.0,0.0,0.5929,0.5621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.89,0.0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,2.7556,28.3528,34.2624,0.0,576,960,1152,0,6,0,72,36,0,1.6129,5.7658,5.5626,0.0,-7.12,-10.68,0.0,104,96,0,24,30,0,3.08,3.24,0.0
2,5,0,153.8342,303.6928,602.5319999999999,1033.136,988,2520,2856,1944,25,48,94,148,142,384,588,648,8.3049,22.516,37.759,48.1924,28.0161,39.984,39.952,0.0,102.0,120,34,0,4.0,6,6,0,12,18,6,0,1.3996,2.2638,1.3542,0.0,23.7616,40.128,29.04,0.0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0.0,11.8336,8.772,15.136,0.0,64.0,48.0,16,0.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,0.5329,0.5621,0.5402,0.0,9.2416,20.064,0.0,0.0,49,21,0.0,0.0,3,0.0,0.0,9,9.0,0.0,0.0,0.5625,0.8325,0.0,0.0,0.89,2.48,0.0,2.0,14.0,0.0,-2.0,0.0,0.0,-0.04,0.72,0.0,2.52,0.0,0.0,18,0.0,0.0,6.0,0.0,0.0,1.14,0.0,0.0,2.7556,31.6064,52.29,14.607999999999999,576,1056,576,96,14,4,120,108,24,1.6129,5.6642,7.5946,1.8796,-9.08,-8.26,-2.16,100,312,92,16,66,20,3.16,11.8,3.6
3,5,0,854.832,1923.7244,3180.074,4626.8640000000005,4529,12444,21074,31236,149,320,542,804,862,2280,3684,5376,61.3028,161.7196,269.0262,394.7648,36.7666,62.169,78.204,40.128,124.0,192,126,42,6.0,10,14,6,24,44,26,6,2.1590000000000003,4.0502,3.6858,1.665,194.4411,435.897,676.7189999999999,850.695,888,2016,2952,3156,34,72,114,150,186,468,666,726,13.8493,34.7886,51.7902,59.7822,9.2416,7.752000000000001,7.752000000000001,20.064,49.0,42.0,42,21.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5625,0.5775,0.5775,0.8325,4.7961,16.7535,33.507,62.415,225,270,540.0,630.0,3,6.0,12.0,9,27.0,54.0,72.0,1.1236,2.4486,4.8972,7.2504,0.49,0.49,2.52,1.0,1.0,18.0,-1.0,-3.0,0.0,-0.02,-0.02,1.14,-1.08,-2.16,-2.22,27,54.0,138.0,0.0,0.0,12.0,0.87,1.74,5.88,3.5344,27.8992,67.116,124.64399999999999,729,1998,2268,4212,14,26,120,240,480,1.5876,7.2324,13.5828,25.2252,-3.56,-9.38,-17.42,88,294,546,16,44,76,1.82,6.86,12.74
2,2,-10,60.578,100.0624,265.416,170.28,2061,4740,6408,480,10,18,42,30,60,132,102,30,7.7628,16.407,32.0766,11.322000000000001,15.209000000000001,20.064,14.52,0.0,154.0,21,3,0,2.5,3,3,0,6,9,3,0,1.0068,0.8325,0.4107,0.0,6.6564,0.0,0.0,0.0,256,0,0,0,1,0,0,0,0,0,0,0,1.0404,0.0,0.0,0.0,7.949,10.032,0.0,0.0,152.5,10.5,0,0.0,1.5,0.0,0.0,4.5,4.5,0.0,0.0,0.80145,0.41625,0.0,0.0,6.6564,0.0,0.0,0.0,256,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0404,0.0,0.0,0.0,1.26,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5344,29.9672,12.408,0.0,729,2349,81,0,3,0,54,18,0,1.5876,7.371,1.3986,0.0,-4.66,-0.96,0.0,75,78,0,27,15,0,1.71,2.67,0.0
3,5,-8,85.0603,133.28799999999998,341.2612,167.632,1853,4240,5916,1928,13,24,46,28,70,144,144,120,8.8929,19.9288,32.4538,18.9292,28.0161,39.984,39.952,0.0,102.0,120,34,0,4.0,6,6,0,12,18,6,0,1.3996,2.2638,1.3542,0.0,6.6564,0.0,0.0,0.0,256,0,0,0,1,0,0,0,0,0,0,0,1.0404,0.0,0.0,0.0,11.8336,8.772,15.136,0.0,64.0,48.0,16,0.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,0.5329,0.5621,0.5402,0.0,6.6564,0.0,0.0,0.0,256,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0404,0.0,0.0,0.0,0.89,2.48,0.0,2.0,14.0,0.0,-2.0,0.0,0.0,-0.04,0.72,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4025,26.66,7.905,13.64,625,2000,300,100,2,4,48,36,24,1.9321,7.7006,2.1406,2.0572,-7.9,-2.0,-2.6,70,38,96,28,6,20,2.8,1.24,4.08
2,1,-8,66.0534,86.2824,220.9874,177.0912,1800,3840,5448,2240,9,16,34,20,50,104,76,24,8.0261,16.5232,29.9454,14.162,18.3361,17.544,0.0,0.0,100.0,96,0,0,2.0,2,0,0,2,2,0,0,1.1258,1.1242,0.0,0.0,6.6564,0.0,0.0,0.0,256,0,0,0,1,0,0,0,0,0,0,0,1.0404,0.0,0.0,0.0,6.5025,8.772,0.0,0.0,36.0,48.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5929,0.5621,0.0,0.0,6.6564,0.0,0.0,0.0,256,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0404,0.0,0.0,0.0,-0.89,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7556,25.5972,11.4208,0.0,576,1824,384,0,2,0,48,12,0,1.6129,7.1374,1.8542,0.0,-5.46,-3.56,0.0,68,32,0,28,10,0,2.0,1.08,0.0
3,5,0,913.207,2077.6424,3441.922,5112.724,4749,13092,22630,34344,159,344,582,892,926,2484,4122,6148,65.4078,173.4236,290.9786,434.9948,65.9541,139.128,199.54,196.74599999999998,234.0,516,580,360,11.0,22,32,34,54,126,152,112,4.2115,9.9022,12.7216,10.2902,194.4411,435.897,676.7189999999999,850.695,888,2016,2952,3156,34,72,114,150,186,468,666,726,13.8493,34.7886,51.7902,59.7822,9.2416,15.504000000000001,28.88,21.128,49.0,84.0,98,56.0,2.0,4.0,3.0,4.0,12.0,16.0,10.0,0.5625,1.155,1.71,1.1325,4.7961,16.7535,33.507,62.415,225,270,540.0,630.0,3,6.0,12.0,9,27.0,54.0,72.0,1.1236,2.4486,4.8972,7.2504,0.98,2.66,2.17,2.0,14.0,13.0,-2.0,0.0,1.0,-0.04,0.72,0.74,-1.08,-2.16,-2.22,27,54.0,138.0,0.0,0.0,12.0,0.87,1.74,5.88,3.5344,27.8992,76.704,150.776,729,1998,2592,4644,16,32,132,288,528,1.5876,7.2324,15.5232,29.0304,-3.56,-10.72,-20.04,88,336,692,14,48,104,1.82,7.84,17.28
2,6,-5,54.1169,71.932,233.46,117.04,14928,14114,64762,1060,9,16,36,20,52,108,76,20,12.0908,22.8322,51.275,9.842,11.706,11.352,4.84,0.0,1533.5,32,1,0,2.0,2,1,0,3,4,1,0,1.54155,0.7548,0.1369,0.0,7.0756,0.0,0.0,0.0,2809,0,0,0,1,0,0,0,0,0,0,0,1.7689,0.0,0.0,0.0,6.8660000000000005,5.676,0.0,0.0,1532.5,16.0,0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.40465,0.3774,0.0,0.0,7.0756,0.0,0.0,0.0,2809,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.7689,0.0,0.0,0.0,0.38,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4025,24.614,6.82,0.0,625,7025,50,0,2,0,48,12,0,1.9321,10.6613,1.0286,0.0,-6.58,-1.3,0.0,-131,48,0,28,10,0,0.67,2.04,0.0
2,2,0,192.4961,368.244,692.9639999999999,793.092,1253,3032,3520,3432,31,60,106,112,166,384,446,520,12.1815,30.7604,44.5434,49.1168,21.5136,30.272,9.68,0.0,66.0,32,2,0,3.0,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0.0,36.7666,62.169,78.204,40.128,124,192,126,42,6,10,14,6,24,44,26,6,2.1590000000000003,4.0502,3.6858,1.665,11.8336,15.136,0.0,0.0,64.0,16.0,0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.5329,0.5402,0.0,0.0,9.2416,7.752000000000001,7.752000000000001,20.064,49,42,42.0,21.0,1,1.0,3.0,1,2.0,4.0,3.0,0.5625,0.5775,0.5775,0.8325,2.48,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.72,0.0,0.0,0.49,0.49,2.52,1,1.0,18.0,-1.0,-3.0,0.0,-0.02,-0.02,1.14,2.4025,29.511999999999997,29.45,15.81,625,1100,700,600,8,4,84,72,96,1.9321,6.1994,6.3384,4.2812,-9.74,-6.6,-4.0,106,172,76,22,36,8,3.88,6.56,2.48
