"alpha","misc.dent.ax","misc.dent.eq","f.chi.0.ax","f.chi.1.ax","f.chi.2.ax","f.chi.3.ax","f.Z.0.ax","f.Z.1.ax","f.Z.2.ax","f.Z.3.ax","f.I.0.ax","f.I.1.ax","f.I.2.ax","f.I.3.ax","f.T.0.ax","f.T.1.ax","f.T.2.ax","f.T.3.ax","f.S.0.ax","f.S.1.ax","f.S.2.ax","f.S.3.ax","f.chi.0.eq","f.chi.1.eq","f.chi.2.eq","f.chi.3.eq","f.Z.0.eq","f.Z.1.eq","f.Z.2.eq","f.Z.3.eq","f.I.0.eq","f.I.1.eq","f.I.2.eq","f.I.3.eq","f.T.0.eq","f.T.1.eq","f.T.2.eq","f.T.3.eq","f.S.0.eq","f.S.1.eq","f.S.2.eq","f.S.3.eq","lc.chi.0.ax","lc.chi.1.ax","lc.chi.2.ax","lc.chi.3.ax","lc.Z.0.ax","lc.Z.1.ax","lc.Z.2.ax","lc.Z.3.ax","lc.I.1.ax","lc.I.2.ax","lc.I.3.ax","lc.T.0.ax","lc.T.1.ax","lc.T.2.ax","lc.T.3.ax","lc.S.0.ax","lc.S.1.ax","lc.S.2.ax","lc.S.3.ax","lc.chi.0.eq","lc.chi.1.eq","lc.chi.2.eq","lc.chi.3.eq","lc.Z.0.eq","lc.Z.1.eq","lc.Z.2.eq","lc.Z.3.eq","lc.I.1.eq","lc.I.2.eq","lc.I.3.eq","lc.T.0.eq","lc.T.1.eq","lc.T.2.eq","lc.T.3.eq","lc.S.0.eq","lc.S.1.eq","lc.S.2.eq","lc.S.3.eq","mc.chi.0.all","mc.chi.1.all","mc.chi.2.all","mc.chi.3.all","mc.Z.0.all","mc.Z.1.all","mc.Z.2.all","mc.Z.3.all","mc.I.2.all","mc.I.3.all","mc.T.1.all","mc.T.2.all","mc.T.3.all","mc.S.0.all","mc.S.1.all","mc.S.2.all","mc.S.3.all","f.chi.0.all","f.chi.1.all","f.chi.2.all","f.chi.3.all","f.Z.0.all","f.Z.1.all","f.Z.2.all","f.Z.3.all","f.I.0.all","f.I.1.all","f.I.2.all","f.I.3.all","f.T.0.all","f.T.1.all","f.T.2.all","f.T.3.all","f.S.0.all","f.S.1.all","f.S.2.all","f.S.3.all","D_lc.chi.1.ax","D_lc.chi.2.ax","D_lc.chi.3.ax","D_lc.Z.1.ax","D_lc.Z.2.ax","D_lc.Z.3.ax","D_lc.T.1.ax","D_lc.T.2.ax","D_lc.T.3.ax","D_lc.S.1.ax","D_lc.S.2.ax","D_lc.S.3.ax","D_lc.chi.1.eq","D_lc.chi.2.eq","D_lc.chi.3.eq","D_lc.Z.1.eq","D_lc.Z.2.eq","D_lc.Z.3.eq","D_lc.T.1.eq","D_lc.T.2.eq","D_lc.T.3.eq","D_lc.S.1.eq","D_lc.S.2.eq","D_lc.S.3.eq","D_mc.chi.1.all","D_mc.chi.2.all","D_mc.chi.3.all","D_mc.Z.1.all","D_mc.Z.2.all","D_mc.Z.3.all","D_mc.T.1.all","D_mc.T.2.all","D_mc.T.3.all","D_mc.S.1.all","D_mc.S.2.all","D_mc.S.3.all"
0.25,1,2,15.7441,15.504,0,0,85,84,0,0,2,2,0,0,2,2,0,0,1.1554,1.155,0,0,94.8997,176.868,289.151,324.658,316,576,734,616,15,28,48,48,76,172,188,160,5.1255,11.55,15.6688,15.72,6.5025,7.752,0,0,36,42,0,0,1,0,0,1,1,0,0,0.5929,0.5775,0,0,11.8336,8.772,17.544,46.612,64,48,96,88,1,2,6,1,3,8,8,0.5329,0.5621,1.1242,1.9126,3.3489,34.5138,29.7924,27.999,676,1144,988,936,6,6,72,84,144,1.5625,5.575,5.725,5.775,224.6365,453.7716,933.247,1148.0356,1478,3608,5052,5512,35,72,138,160,210,520,728,904,14.1243,36.56,59.3618,72.54,-0.49,0,0,-1,0,0,0,0,0,0.02,0,0,0.89,1.78,7.09,2,4,37,-2,-6,-2,-0.04,-0.08,1.76,-7.88,-5.3,-4.32,112,118,120,24,22,12,3.04,2.92,2.88
0.2,1,2,15.7441,15.504,0,0,85,84,0,0,2,2,0,0,2,2,0,0,1.1554,1.155,0,0,94.8997,176.868,289.151,324.658,316,576,734,616,15,28,48,48,76,172,188,160,5.1255,11.55,15.6688,15.72,6.5025,7.752,0,0,36,42,0,0,1,0,0,1,1,0,0,0.5929,0.5775,0,0,11.8336,8.772,17.544,46.612,64,48,96,88,1,2,6,1,3,8,8,0.5329,0.5621,1.1242,1.9126,3.3489,34.5138,29.7924,27.999,676,1144,988,936,6,6,72,84,144,1.5625,5.575,5.725,5.775,224.6365,453.7716,933.247,1148.0356,1478,3608,5052,5512,35,72,138,160,210,520,728,904,14.1243,36.56,59.3618,72.54,-0.49,0,0,-1,0,0,0,0,0,0.02,0,0,0.89,1.78,7.09,2,4,37,-2,-6,-2,-0.04,-0.08,1.76,-7.88,-5.3,-4.32,112,118,120,24,22,12,3.04,2.92,2.88
0.2,2,2,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,9.2416,15.504,29.944,39.1856,49,84,133,182,2,4,5,4,12,20,24,0.5625,1.155,2.01,2.5725,9.2416,15.504,29.944,39.1856,49,84,133,182,2,4,5,4,12,20,24,0.5625,1.155,2.01,2.5725,3.5344,34.2912,57.528,82.344,729,1134,1944,2106,12,18,108,216,252,1.5876,5.67,11.6424,14.4396,409.234,992.0904,1847.112,2697.537,2343,6156,10914,14262,67,156,282,420,438,1224,2178,3000,29.5926,81.564,145.1298,203.6064,0.98,2.31,2.31,2,9,9,-2,-2,-2,-0.04,0.32,0.32,0.98,2.31,2.31,2,9,9,-2,-2,-2,-0.04,0.32,0.32,-6.96,-8.04,-9.96,120,252,408,18,36,66,3.06,5.88,11.22
0.25,2,2,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,9.2416,15.504,29.944,39.1856,49,84,133,182,2,4,5,4,12,20,24,0.5625,1.155,2.01,2.5725,9.2416,15.504,29.944,39.1856,49,84,133,182,2,4,5,4,12,20,24,0.5625,1.155,2.01,2.5725,3.5344,34.2912,57.528,82.344,729,1134,1944,2106,12,18,108,216,252,1.5876,5.67,11.6424,14.4396,409.234,992.0904,1847.112,2697.537,2343,6156,10914,14262,67,156,282,420,438,1224,2178,3000,29.5926,81.564,145.1298,203.6064,0.98,2.31,2.31,2,9,9,-2,-2,-2,-0.04,0.32,0.32,0.98,2.31,2.31,2,9,9,-2,-2,-2,-0.04,0.32,0.32,-6.96,-8.04,-9.96,120,252,408,18,36,66,3.06,5.88,11.22
0.3,1,1,36.7666,64.668,82.173,33.66,124,204,120,36,6,10,14,6,24,44,26,6,2.159,4.0194,3.6722,1.7094,36.7666,64.668,82.173,33.66,124,204,120,36,6,10,14,6,24,44,26,6,2.159,4.0194,3.6722,1.7094,6.5025,7.752,6.5025,16.83,36,42,36,18,1,1,3,1,2,4,3,0.5929,0.5775,0.5929,0.8547,6.5025,7.752,6.5025,16.83,36,42,36,18,1,1,3,1,2,4,3,0.5929,0.5775,0.5929,0.8547,3.5344,28.764,34.2912,28.764,729,972,1134,972,6,6,72,72,144,1.5876,5.8212,5.67,5.8212,224.134,445.536,756.6954,724.608,1473,3168,4068,4680,37,72,126,108,198,432,468,600,14.5416,35.7588,51.1602,56.5488,-0.49,0,1.05,-1,0,15,-1,-3,0,0.02,0,1.2,-0.49,0,1.05,-1,0,15,-1,-3,0,0.02,0,1.2,-4.02,-6.96,-4.02,126,120,126,24,24,12,2.94,3.06,2.94
0.3,1,1,36.7666,64.668,82.173,33.66,124,204,120,36,6,10,14,6,24,44,26,6,2.159,4.0194,3.6722,1.7094,36.7666,64.668,82.173,33.66,124,204,120,36,6,10,14,6,24,44,26,6,2.159,4.0194,3.6722,1.7094,6.5025,7.752,6.5025,16.83,36,42,36,18,1,1,3,1,2,4,3,0.5929,0.5775,0.5929,0.8547,6.5025,7.752,6.5025,16.83,36,42,36,18,1,1,3,1,2,4,3,0.5929,0.5775,0.5929,0.8547,3.3489,27.999,33.3792,27.999,676,936,1092,936,6,6,72,72,144,1.5625,5.775,5.625,5.775,223.9485,444.006,754.8714,723.078,1420,3096,3984,4608,37,72,126,108,198,432,468,600,14.5165,35.6664,51.0702,56.4564,-0.49,0,1.05,-1,0,15,-1,-3,0,0.02,0,1.2,-0.49,0,1.05,-1,0,15,-1,-3,0,0.02,0,1.2,-4.32,-7.26,-4.32,120,114,120,24,24,12,2.88,3,2.88
0.2,1,1,15.7441,15.504,0,0,85,84,0,0,2,2,0,0,2,2,0,0,1.1554,1.155,0,0,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,6.5025,7.752,0,0,36,42,0,0,1,0,0,1,1,0,0,0.5929,0.5775,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,2.7556,28.6516,53.9168,0,576,960,624,0,14,0,120,84,0,1.6129,5.7658,7.5438,0,129.2902,248.8232,471.9298,929.6896,954,2256,2604,1744,21,40,82,140,122,344,520,456,7.8165,20.5016,35.549,44.9652,-0.49,0,0,-1,0,0,0,0,0,0.02,0,0,2.52,0,0,18,0,0,6,0,0,1.14,0,0,-7.3,-9.24,0,104,310,0,16,70,0,3.08,11.84,0
0.1,1,1,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,3.3489,33.3792,72.468,0,676,1092,468,0,18,0,144,108,0,1.5625,5.625,8.325,0,145.9185,307.5264,596.424,1203.84,988,2436,2442,1260,25,48,102,180,150,432,732,720,7.4017,21.24,38.4534,49.95,2.52,0,0,18,0,0,6,0,0,1.14,0,0,2.52,0,0,18,0,0,6,0,0,1.14,0,0,-7.26,-6.66,0,114,450,0,12,90,0,3,15.84,0
0.25,1,1,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,3.5344,38.8032,49.632,0,729,1296,324,0,12,0,108,72,0,1.5876,5.5188,5.5944,0,132.616,259.2384,512.352,908.16,1125,2784,2580,960,19,36,66,120,102,288,426,360,6.4278,17.52,28.8186,32.412,2.48,0,0,14,0,0,2,0,0,0.72,0,0,2.48,0,0,14,0,0,2,0,0,0.72,0,0,-9.36,-3.84,0,114,312,0,18,60,0,3.18,10.68,0
0.25,1,1,15.7441,15.504,0,0,85,84,0,0,2,2,0,0,2,2,0,0,1.1554,1.155,0,0,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,6.5025,7.752,0,0,36,42,0,0,1,0,0,1,1,0,0,0.5929,0.5775,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,2.7556,28.6516,53.9168,0,576,960,624,0,14,0,120,84,0,1.6129,5.7658,7.5438,0,129.2902,248.8232,471.9298,929.6896,954,2256,2604,1744,21,40,82,140,122,344,520,456,7.8165,20.5016,35.549,44.9652,-0.49,0,0,-1,0,0,0,0,0,0.02,0,0,2.52,0,0,18,0,0,6,0,0,1.14,0,0,-7.3,-9.24,0,104,310,0,16,70,0,3.08,11.84,0
