"alpha","misc.dent.ax","misc.dent.eq","f.chi.0.ax","f.chi.1.ax","f.chi.2.ax","f.chi.3.ax","f.Z.0.ax","f.Z.1.ax","f.Z.2.ax","f.Z.3.ax","f.I.0.ax","f.I.1.ax","f.I.2.ax","f.I.3.ax","f.T.0.ax","f.T.1.ax","f.T.2.ax","f.T.3.ax","f.S.0.ax","f.S.1.ax","f.S.2.ax","f.S.3.ax","f.chi.0.eq","f.chi.1.eq","f.chi.2.eq","f.chi.3.eq","f.Z.0.eq","f.Z.1.eq","f.Z.2.eq","f.Z.3.eq","f.I.0.eq","f.I.1.eq","f.I.2.eq","f.I.3.eq","f.T.0.eq","f.T.1.eq","f.T.2.eq","f.T.3.eq","f.S.0.eq","f.S.1.eq","f.S.2.eq","f.S.3.eq","lc.chi.0.ax","lc.chi.1.ax","lc.chi.2.ax","lc.chi.3.ax","lc.Z.0.ax","lc.Z.1.ax","lc.Z.2.ax","lc.Z.3.ax","lc.I.1.ax","lc.I.2.ax","lc.I.3.ax","lc.T.0.ax","lc.T.1.ax","lc.T.2.ax","lc.T.3.ax","lc.S.0.ax","lc.S.1.ax","lc.S.2.ax","lc.S.3.ax","lc.chi.0.eq","lc.chi.1.eq","lc.chi.2.eq","lc.chi.3.eq","lc.Z.0.eq","lc.Z.1.eq","lc.Z.2.eq","lc.Z.3.eq","lc.I.1.eq","lc.I.2.eq","lc.I.3.eq","lc.T.0.eq","lc.T.1.eq","lc.T.2.eq","lc.T.3.eq","lc.S.0.eq","lc.S.1.eq","lc.S.2.eq","lc.S.3.eq","mc.chi.0.all","mc.chi.1.all","mc.chi.2.all","mc.chi.3.all","mc.Z.0.all","mc.Z.1.all","mc.Z.2.all","mc.Z.3.all","mc.I.2.all","mc.I.3.all","mc.T.1.all","mc.T.2.all","mc.T.3.all","mc.S.0.all","mc.S.1.all","mc.S.2.all","mc.S.3.all","f.chi.0.all","f.chi.1.all","f.chi.2.all","f.chi.3.all","f.Z.0.all","f.Z.1.all","f.Z.2.all","f.Z.3.all","f.I.0.all","f.I.1.all","f.I.2.all","f.I.3.all","f.T.0.all","f.T.1.all","f.T.2.all","f.T.3.all","f.S.0.all","f.S.1.all","f.S.2.all","f.S.3.all","D_lc.chi.1.ax","D_lc.chi.2.ax","D_lc.chi.3.ax","D_lc.Z.1.ax","D_lc.Z.2.ax","D_lc.Z.3.ax","D_lc.T.1.ax","D_lc.T.2.ax","D_lc.T.3.ax","D_lc.S.1.ax","D_lc.S.2.ax","D_lc.S.3.ax","D_lc.chi.1.eq","D_lc.chi.2.eq","D_lc.chi.3.eq","D_lc.Z.1.eq","D_lc.Z.2.eq","D_lc.Z.3.eq","D_lc.T.1.eq","D_lc.T.2.eq","D_lc.T.3.eq","D_lc.S.1.eq","D_lc.S.2.eq","D_lc.S.3.eq","D_mc.chi.1.all","D_mc.chi.2.all","D_mc.chi.3.all","D_mc.Z.1.all","D_mc.Z.2.all","D_mc.Z.3.all","D_mc.T.1.all","D_mc.T.2.all","D_mc.T.3.all","D_mc.S.1.all","D_mc.S.2.all","D_mc.S.3.all"
0.05,1,1,22.4005,28.662,15.6864,0,341,276,224,0,3,4,2,0,6,8,2,0,2.1958,2.7258,1.53,0,9.9856,0,0,0,289,0,0,0,1,0,0,0,0,0,0,0,0.9801,0,0,0,9.2416,7.752,7.8432,0,49,42,112,0,1,1,0,1,2,1,0,0.5625,0.5775,0.765,0,9.9856,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0.9801,0,0,0,2.4025,29.016,7.905,7.998,625,2050,300,800,2,2,48,24,12,1.9321,7.5894,2.1406,2.8356,87.1459,115.356,339.1956,175.932,2463,4652,6518,3400,11,20,38,24,58,120,108,72,10.2441,20.6304,32.1074,20.178,0.49,0.46,0,1,-9,0,-1,0,0,-0.02,-0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.42,-2,-2.06,68,38,18,28,8,10,2.88,1.24,0.74
0.05,1,1,9.9856,0,0,0,289,0,0,0,1,0,0,0,0,0,0,0,0.9801,0,0,0,22.4005,28.662,15.6864,0,341,276,224,0,3,4,2,0,6,8,2,0,2.1958,2.7258,1.53,0,9.9856,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0.9801,0,0,0,9.2416,7.752,7.8432,0,49,42,112,0,1,1,0,1,2,1,0,0.5625,0.5775,0.765,0,2.4025,28.644,15.81,15.996,625,1550,600,1600,4,4,60,48,24,1.9321,6.9222,4.2812,5.6712,111.9757,171.936,378.9384,346.968,2567,4204,5166,5840,15,28,46,48,74,168,194,176,12.6755,24.7476,35.2726,37.3992,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.46,0,1,-9,0,-1,0,0,-0.02,-0.27,0,-9.18,-4,-4.12,88,76,36,26,16,20,3.36,2.48,1.48
0,1,1,9.9856,0,0,0,289,0,0,0,1,0,0,0,0,0,0,0,0.9801,0,0,0,22.4005,28.662,15.6864,0,341,276,224,0,3,4,2,0,6,8,2,0,2.1958,2.7258,1.53,0,9.9856,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0.9801,0,0,0,9.2416,7.752,7.8432,0,49,42,112,0,1,1,0,1,2,1,0,0.5625,0.5775,0.765,0,2.4025,28.644,15.81,15.996,625,1550,600,1600,4,4,60,48,24,1.9321,6.9222,4.2812,5.6712,111.9757,171.936,378.9384,346.968,2567,4204,5166,5840,15,28,46,48,74,168,194,176,12.6755,24.7476,35.2726,37.3992,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.46,0,1,-9,0,-1,0,0,-0.02,-0.27,0,-9.18,-4,-4.12,88,76,36,26,16,20,3.36,2.48,1.48
0.2,2,2,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,9.2416,15.504,29.944,39.1856,49,84,133,182,2,4,5,4,12,20,24,0.5625,1.155,2.01,2.5725,9.2416,15.504,29.944,39.1856,49,84,133,182,2,4,5,4,12,20,24,0.5625,1.155,2.01,2.5725,3.5344,34.2912,57.528,82.344,729,1134,1944,2106,12,18,108,216,252,1.5876,5.67,11.6424,14.4396,409.234,992.0904,1847.112,2697.537,2343,6156,10914,14262,67,156,282,420,438,1224,2178,3000,29.5926,81.564,145.1298,203.6064,0.98,2.31,2.31,2,9,9,-2,-2,-2,-0.04,0.32,0.32,0.98,2.31,2.31,2,9,9,-2,-2,-2,-0.04,0.32,0.32,-6.96,-8.04,-9.96,120,252,408,18,36,66,3.06,5.88,11.22
0.25,2,2,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,9.2416,15.504,29.944,39.1856,49,84,133,182,2,4,5,4,12,20,24,0.5625,1.155,2.01,2.5725,9.2416,15.504,29.944,39.1856,49,84,133,182,2,4,5,4,12,20,24,0.5625,1.155,2.01,2.5725,3.5344,34.2912,57.528,82.344,729,1134,1944,2106,12,18,108,216,252,1.5876,5.67,11.6424,14.4396,409.234,992.0904,1847.112,2697.537,2343,6156,10914,14262,67,156,282,420,438,1224,2178,3000,29.5926,81.564,145.1298,203.6064,0.98,2.31,2.31,2,9,9,-2,-2,-2,-0.04,0.32,0.32,0.98,2.31,2.31,2,9,9,-2,-2,-2,-0.04,0.32,0.32,-6.96,-8.04,-9.96,120,252,408,18,36,66,3.06,5.88,11.22
0.3,1,1,36.7666,64.668,82.173,33.66,124,204,120,36,6,10,14,6,24,44,26,6,2.159,4.0194,3.6722,1.7094,36.7666,64.668,82.173,33.66,124,204,120,36,6,10,14,6,24,44,26,6,2.159,4.0194,3.6722,1.7094,6.5025,7.752,6.5025,16.83,36,42,36,18,1,1,3,1,2,4,3,0.5929,0.5775,0.5929,0.8547,6.5025,7.752,6.5025,16.83,36,42,36,18,1,1,3,1,2,4,3,0.5929,0.5775,0.5929,0.8547,3.5344,28.764,34.2912,28.764,729,972,1134,972,6,6,72,72,144,1.5876,5.8212,5.67,5.8212,224.134,445.536,756.6954,724.608,1473,3168,4068,4680,37,72,126,108,198,432,468,600,14.5416,35.7588,51.1602,56.5488,-0.49,0,1.05,-1,0,15,-1,-3,0,0.02,0,1.2,-0.49,0,1.05,-1,0,15,-1,-3,0,0.02,0,1.2,-4.02,-6.96,-4.02,126,120,126,24,24,12,2.94,3.06,2.94
0.3,1,1,36.7666,64.668,82.173,33.66,124,204,120,36,6,10,14,6,24,44,26,6,2.159,4.0194,3.6722,1.7094,36.7666,64.668,82.173,33.66,124,204,120,36,6,10,14,6,24,44,26,6,2.159,4.0194,3.6722,1.7094,6.5025,7.752,6.5025,16.83,36,42,36,18,1,1,3,1,2,4,3,0.5929,0.5775,0.5929,0.8547,6.5025,7.752,6.5025,16.83,36,42,36,18,1,1,3,1,2,4,3,0.5929,0.5775,0.5929,0.8547,3.3489,27.999,33.3792,27.999,676,936,1092,936,6,6,72,72,144,1.5625,5.775,5.625,5.775,223.9485,444.006,754.8714,723.078,1420,3096,3984,4608,37,72,126,108,198,432,468,600,14.5165,35.6664,51.0702,56.4564,-0.49,0,1.05,-1,0,15,-1,-3,0,0.02,0,1.2,-0.49,0,1.05,-1,0,15,-1,-3,0,0.02,0,1.2,-4.32,-7.26,-4.32,120,114,120,24,24,12,2.88,3,2.88
0.15,1,1,22.4005,28.662,15.6864,0,341,276,224,0,3,4,2,0,6,8,2,0,2.1958,2.7258,1.53,0,15.7441,15.504,0,0,85,84,0,0,2,2,0,0,2,2,0,0,1.1554,1.155,0,0,9.2416,7.752,7.8432,0,49,42,112,0,1,1,0,1,2,1,0,0.5625,0.5775,0.765,0,6.5025,7.752,0,0,36,42,0,0,1,0,0,1,1,0,0,0.5929,0.5775,0,0,3.5344,30.6064,32.4488,9.7008,729,1026,1080,864,6,2,72,48,12,1.5876,5.7708,5.7204,2.5704,111.3118,180.5528,316.8156,488.3632,1751,2940,3810,4264,15,28,46,64,74,184,224,184,10.6008,21.6132,31.9806,39.7972,0.49,0.46,0,1,-9,0,-1,0,0,-0.02,-0.27,0,-0.49,0,0,-1,0,0,0,0,0,0.02,0,0,-5,-5.98,-1.4,124,122,22,24,28,10,2.98,3.02,0.48
0.1,1,1,22.4005,28.662,15.6864,0,341,276,224,0,3,4,2,0,6,8,2,0,2.1958,2.7258,1.53,0,15.7441,15.504,0,0,85,84,0,0,2,2,0,0,2,2,0,0,1.1554,1.155,0,0,9.2416,7.752,7.8432,0,49,42,112,0,1,1,0,1,2,1,0,0.5625,0.5775,0.765,0,6.5025,7.752,0,0,36,42,0,0,1,0,0,1,1,0,0,0.5929,0.5775,0,0,3.5344,30.6064,32.4488,9.7008,729,1026,1080,864,6,2,72,48,12,1.5876,5.7708,5.7204,2.5704,111.3118,180.5528,316.8156,488.3632,1751,2940,3810,4264,15,28,46,64,74,184,224,184,10.6008,21.6132,31.9806,39.7972,0.49,0.46,0,1,-9,0,-1,0,0,-0.02,-0.27,0,-0.49,0,0,-1,0,0,0,0,0,0.02,0,0,-5,-5.98,-1.4,124,122,22,24,28,10,2.98,3.02,0.48
0.3,1,4,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,225.0964,518.772,829.464,958.168,928,2256,3360,2920,36,80,128,152,208,528,768,744,15.7508,39.7936,60.6144,61.3496,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,9.2416,15.504,31.008,42.256,49,84,168,112,2,4,6,4,12,24,20,0.5625,1.155,2.31,2.265,2.7556,31.6064,48.472,50.796,576,1056,1248,1728,12,12,108,168,216,1.6129,5.6642,9.7028,11.7348,270.8792,642.5288,1247.656,1863.088,1636,4432,7472,9544,43,100,186,280,286,816,1474,1952,18.9771,53.2828,97.1434,132.3272,2.48,0,0,14,0,0,2,0,0,0.72,0,0,0.98,1.96,4.34,2,4,26,-2,-4,2,-0.04,-0.08,1.48,-9.08,-9.28,-10.68,100,236,216,18,44,36,3.16,7.6,6
