misc-dent-eq,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,ox,spin,charge_lig
1,127.9717,238.314,489.3488,905.136,948,2280,2452,1416,20,38,80,130,118,328,472,394,7.1644,19.2142,33.2916,38.7458,15.08485,8.772,0,0,82,48,0,0,1.5,1,0,0,1,1,0,0,0.82935,0.5621,0,0,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,9.16805,4.386,0,0,50,24,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28105,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,-0.445,0,0,-1,0,0,0,0,0,0.02,0,0,2.52,0,0,18,0,0,6,0,0,1.14,0,0,2.7556,30.129,49.5344,0,576,1008,480,0,13,0,114,78,0,1.6129,5.715,6.5659,0,-8.19,-8.26,0,102,292,0,17,65,0,3.12,11.34,0,4,3,-2
2,204.3411,394.412,891.058,866.314,1608,3978,5256,4888,31,64,122,124,186,444,590,720,13.4223,34.8596,54.9582,59.4324,10.9096,0,0,0,176.5,0,0,0,1,0,0,0,0,0,0,0,0.7565,0,0,0,90.0597,165.648,257.031,271.946,315,564,708,560,14,26,42,40,68,150,154,128,4.9886,10.9802,14.2554,13.5,10.9096,0,0,0,176.5,0,0,0,0,0,0,0,0,0,0,0.7565,0,0,0,11.8336,8.772,17.544,39.044,64,48,96,80,1,2,5,1,3,7,7,0.5329,0.5621,1.1242,1.6425,0,0,0,0,0,0,0,0,0,0,0,0,0.89,1.78,5.85,2,4,30,-2,-5,-2,-0.04,-0.08,1.4,2.4025,31.558,15.81,23.715,625,1425,600,900,4,6,60,72,132,1.9321,6.4496,4.2812,6.4218,-11.06,-4,-6,93,76,114,26,12,14,3.7,2.48,3.72,4,4,-5
1,302.1672,658.5248,1206.248,1755.544,1628,4170,6314,7800,50,106,186,278,292,780,1238,1622,19.965,52.653,86.8986,118.5598,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,65.9541,139.128,199.54,196.746,234,516,580,360,11,22,32,34,54,126,152,112,4.2115,9.9022,12.7216,10.2902,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,9.2416,15.504,28.88,21.128,49,84,98,56,2,4,3,4,12,16,10,0.5625,1.155,1.71,1.1325,1.26,0,0,9,0,0,3,0,0,0.57,0,0,0.98,2.66,2.17,2,14,13,-2,0,1,-0.04,0.72,0.74,2.7556,30.9424,44.82,63.08,576,1032,1224,1344,11,16,102,162,192,1.6129,5.6896,9.2329,11.5824,-8.68,-8.74,-11.44,101,213,328,19,39,64,3.14,6.7,11.2,4,3,-2
1,124.4052,228.4128,489.352,818.4,956,2426,2382,864,18,34,66,110,100,276,382,302,6.3458,17.1626,28.3874,29.8294,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,1.26,0,0,9,0,0,3,0,0,0.57,0,0,2.48,0,0,14,0,0,2,0,0,0.72,0,0,2.7556,33.5984,40.172,0,576,1128,264,0,11,0,102,66,0,1.6129,5.588,5.1689,0,-10.28,-5.94,0,97,253,0,19,55,0,3.22,9.9,0,5,2,-2
1,310.6726,686.1154,1260.282,1701.052,1899,4710,7500,9192,50,108,188,266,296,796,1308,1626,21.2773,55.5492,92.8224,121.995,44.3459,78.2085,109.307,117.202,191,330,392,334,6.5,12,17,19,29,68,85,70,2.88145,5.8366,7.5543,7.2121,54.6116,114.903,164.095,123.112,197,432,484,106,9,18,26,22,44,102,122,50,3.4817,8.1466,10.3962,5.3502,10.5376,7.752,14.44,10.564,56.5,42,49,28,1,2,1.5,2,6,8,5,0.5477,0.5775,0.855,0.56625,9.2416,15.504,28.88,13.376,49,84,98,14,2,4,2,4,12,16,4,0.5625,1.155,1.71,0.555,0.49,1.33,1.085,1,7,6.5,-1,0,0.5,-0.02,0.36,0.37,0.98,2.66,1.68,2,14,12,-2,0,2,-0.04,0.72,0.76,3.5344,35.0432,47.94,89.3,729,1161,1620,1890,10,20,96,180,240,1.5876,5.6448,9.702,14.364,-7.36,-6.7,-9.9,119,210,470,20,30,80,3.08,4.9,13.8,5,5,-6
1,99.858,156.5088,313.9948,473.4016,1199,2528,2950,2032,13,24,44,60,68,172,192,116,7.5488,17.1412,26.8728,28.2588,16.6736,15.136,4.84,0,65,16,1,0,2,2,1,0,3,4,1,0,0.6698,0.5402,0.1369,0,15.7441,15.504,0,0,85,84,0,0,2,2,0,0,2,2,0,0,1.1554,1.155,0,0,11.8336,7.568,0,0,64,8,0,0,1,0,0,2,2,0,0,0.5329,0.2701,0,0,6.5025,7.752,0,0,36,42,0,0,1,0,0,1,1,0,0,0.5929,0.5775,0,0,1.24,0,0,7,0,0,1,0,0,0.36,0,0,-0.49,0,0,-1,0,0,0,0,0,0.02,0,0,3.5344,32.1104,31.1328,0,729,1080,810,0,6,0,72,36,0,1.5876,5.7204,4.7124,0,-5.8,-5.28,0,122,132,0,24,30,0,3.02,3.82,0,5,1,-6
1,133.0441,258.424,536.908,1029.6,949,2360,2320,1080,22,42,90,150,132,372,570,510,7.331,20.7794,36.261,41.403,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,1.26,0,0,9,0,0,3,0,0,0.57,0,0,2.52,0,0,18,0,0,6,0,0,1.14,0,0,2.4025,28.892,51.15,0,625,1075,375,0,15,0,126,90,0,1.9321,6.2272,7.7145,0,-9.34,-9.75,0,107,360,0,15,75,0,3.86,15.3,0,4,4,-2
1,128.7505,246.3,502.4784,905.136,1101,2532,2572,1416,20,38,80,130,118,328,472,394,7.1391,19.1242,33.1882,38.7458,15.08485,8.772,0,0,82,48,0,0,1.5,1,0,0,1,1,0,0,0.82935,0.5621,0,0,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,9.16805,4.386,0,0,50,24,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28105,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,-0.445,0,0,-1,0,0,0,0,0,0.02,0,0,2.52,0,0,18,0,0,6,0,0,1.14,0,0,3.5344,34.122,56.0992,0,729,1134,540,0,13,0,114,78,0,1.5876,5.67,6.5142,0,-6.87,-5.4,0,120,331,0,17,65,0,3.06,11.21,0,4,4,-2
2,217.7024,434.0364,917.6614,969.5968,1711,3848,5040,5792,33,68,126,136,194,468,636,792,14.2684,35.6862,55.7988,64.8314,17.11705,14.331,7.8432,0,202.5,138,112,0,2,2,1,0,3,4,1,0,1.36435,1.3629,0.765,0,90.0597,165.648,257.031,271.946,315,564,708,560,14,26,42,40,68,150,154,128,4.9886,10.9802,14.2554,13.5,10.5376,3.876,3.9216,0,56.5,21,56,0,0.5,0.5,0,0.5,1,0.5,0,0.5477,0.28875,0.3825,0,11.8336,8.772,17.544,39.044,64,48,96,80,1,2,5,1,3,7,7,0.5329,0.5621,1.1242,1.6425,0.245,0.23,0,0.5,-4.5,0,-0.5,0,0,-0.01,-0.135,0,0.89,1.78,5.85,2,4,30,-2,-5,-2,-0.04,-0.08,1.4,3.3489,37.0392,23.3325,32.7204,676,1222,780,1352,5,7,66,84,138,1.5625,5.5,4.8125,7.05,-9.26,-3.6,-5.07,109,100,130,25,16,19,3.1,2.4,3.11,4,5,-5
1,198.814,375.1038,803.8678,768.4244,2354,5308,7302,2956,31,62,118,124,180,428,562,624,14.8799,35.2254,58.8882,49.4256,77.76135,153.459,251.9715,330.6625,261,522,735,790,13,25,43,56,68,170,246,278,4.6985,10.7877,16.1239,20.2328,9.9856,0,0,0,289,0,0,0,1,0,0,0,0,0,0,0,0.9801,0,0,0,9.16805,3.876,3.25125,6.5025,50,21,18,36,0.5,0.5,1,0.5,1,1.5,3,0.5629,0.28875,0.29645,0.5929,9.9856,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0.9801,0,0,0,-0.245,0,0,-0.5,0,0,-0.5,-1,-2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3489,34.0929,5.5632,4.6665,676,2132,182,156,1,1,42,12,18,1.5625,6.825,0.9375,0.9625,-7.65,-1.21,-0.72,74,19,20,29,4,3,2.04,0.5,0.48,4,3,-6
