misc-dent-eq,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,mc-O-0-all,mc-O-1-all,mc-O-2-all,mc-O-3-all,D_mc-O-1-all,D_mc-O-2-all,D_mc-O-3-all,alpha,ox,spin
1,103.6777,139.4308,273.546,458.304,1125,2292,3072,2496,12,22,40,50,62,152,160,90,7.8044,17.285,26.8008,27.9654,13.78885,7.752,0,0,74.5,42,0,0,1.5,1,0,0,1,1,0,0,0.84415,0.5775,0,0,18.3361,17.544,0,0,100,96,0,0,2,2,0,0,2,2,0,0,1.1258,1.1242,0,0,9.16805,3.876,0,0,50,21,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28875,0,0,6.5025,8.772,0,0,36,48,0,0,1,0,0,1,1,0,0,0.5929,0.5621,0,0,-0.245,0,0,-0.5,0,0,0,0,0,0.01,0,0,-0.89,0,0,-2,0,0,0,0,0,0.04,0,0,2.7556,26.8754,27.888,0,576,912,936,0,5,0,66,30,0,1.6129,5.8166,4.6609,0,-6.23,-8.5,0,106,81,0,25,25,0,3.04,2.68,0,784,1064,1092,0,130,101,0,30,4,3
1,605.683,1302.4314,2289.174,3097.288,2657,6236,8900,9808,104,214,384,506,598,1512,2200,2578,38.7072,98.9066,155.8452,198.1374,13.78885,7.752,0,0,74.5,42,0,0,1.5,1,0,0,1,1,0,0,0.84415,0.5775,0,0,143.6891,306.918,503.943,661.325,458,1044,1470,1580,25,50,86,112,136,340,492,556,8.8641,21.5754,32.2478,40.4656,9.16805,3.876,0,0,50,21,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28875,0,0,6.5025,7.752,6.5025,13.005,36,42,36,72,1,1,2,1,2,3,6,0.5929,0.5775,0.5929,1.1858,-0.245,0,0,-0.5,0,0,0,0,0,0.01,0,0,-0.49,0,0,-1,0,0,-1,-2,-4,0.02,0,0,3.3489,29.6277,27.816,18.666,676,988,910,624,5,4,66,54,72,1.5625,5.725,4.6875,3.85,-5.21,-6.05,-2.88,118,95,80,25,21,12,2.92,2.5,1.92,961,1178,1085,744,148,120,100,30,5,4
2,172.9886,358.603,796.948,1369.076,1145,2884,4124,3136,28,58,128,218,186,552,928,898,10.4028,29.6242,56.062,69.9242,15.08485,8.772,0,0,82,48,0,0,1.5,1,0,0,1,1,0,0,0.82935,0.5621,0,0,70.2082,142.397,212.992,233.0272,178,344,328,226,12,22,36,42,58,136,144,98,3.406,7.995,10.1836,8.9098,9.16805,4.386,0,0,50,24,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28105,0,0,9.2416,21.128,21.128,22.6176,49,56,56,63,3,3,3,9,18,18,15,0.5625,1.1325,1.1325,1.1175,-0.445,0,0,-1,0,0,0,0,0,0.02,0,0,2.17,2.17,1.68,13,13,12,3,3,4,0.74,0.74,0.76,2.4025,28.1325,48.422,27.28,625,1050,1000,200,13,8,114,150,48,1.9321,6.255,9.4103,4.1144,-8.85,-11.09,-5.2,108,285,192,17,53,40,3.84,11.3,8.16,841,1218,1160,232,132,337,224,20,4,4
1,123.6374,223.8284,469.4034,688.5228,1345,2848,2800,1936,17,32,58,92,90,240,316,256,7.518,18.0474,28.0832,29.8974,17.11705,14.331,7.8432,0,202.5,138,112,0,2,2,1,0,3,4,1,0,1.36435,1.3629,0.765,0,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,10.5376,3.876,3.9216,0,56.5,21,56,0,0.5,0.5,0,0.5,1,0.5,0,0.5477,0.28875,0.3825,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,0.245,0.23,0,0.5,-4.5,0,-0.5,0,0,-0.01,-0.135,0,2.48,0,0,14,0,0,2,0,0,0.72,0,0,3.3489,37.0392,36.8745,4.7214,676,1222,364,416,9,1,90,60,6,1.5625,5.5,4.6625,1.275,-9.26,-3.68,-0.75,109,220,10,21,44,5,3.1,7.52,0.23,900,1410,420,480,133,256,14,10,4,3
4,264.0405,627.1224,1246.732,1788.532,1720,4534,7558,9664,42,98,186,270,284,804,1430,1862,18.8194,52.6586,96.3358,129.4438,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,225.0964,518.772,829.464,958.168,928,2256,3360,2920,36,80,128,152,208,528,768,744,15.7508,39.7936,60.6144,61.3496,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,9.2416,15.504,31.008,42.256,49,84,168,112,2,4,6,4,12,24,20,0.5625,1.155,2.31,2.265,1.26,0,0,9,0,0,3,0,0,0.57,0,0,0.98,1.96,4.34,2,4,26,-2,-4,2,-0.04,-0.08,1.48,3.3489,34.1112,49.41,55.998,676,1118,1326,1872,11,12,102,162,216,1.5625,5.6,9.0875,11.55,-7.66,-6.87,-8.64,113,235,240,19,39,36,3.02,6.48,5.76,900,1290,1530,2160,137,279,288,5,4,1
2,217.8879,436.0604,918.9364,971.3848,1764,3942,5100,5896,33,68,126,136,194,468,636,792,14.2935,35.7742,55.8758,64.9442,17.11705,14.331,7.8432,0,202.5,138,112,0,2,2,1,0,3,4,1,0,1.36435,1.3629,0.765,0,90.0597,165.648,257.031,271.946,315,564,708,560,14,26,42,40,68,150,154,128,4.9886,10.9802,14.2554,13.5,10.5376,3.876,3.9216,0,56.5,21,56,0,0.5,0.5,0,0.5,1,0.5,0,0.5477,0.28875,0.3825,0,11.8336,8.772,17.544,39.044,64,48,96,80,1,2,5,1,3,7,7,0.5329,0.5621,1.1242,1.6425,0.245,0.23,0,0.5,-4.5,0,-0.5,0,0,-0.01,-0.135,0,0.89,1.78,5.85,2,4,30,-2,-5,-2,-0.04,-0.08,1.4,3.5344,38.0512,23.97,33.6144,729,1269,810,1404,5,7,66,84,138,1.5876,5.544,4.851,7.1064,-8.96,-3.35,-4.72,115,105,137,25,16,19,3.16,2.45,3.18,961,1457,930,1612,139,125,165,25,4,4
2,178.7672,386.8068,858.64,1498.784,1048,2794,3882,2824,30,62,138,238,200,596,1026,1062,9.931,29.0342,56.0746,71.807,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,70.2082,142.397,212.992,233.0272,178,344,328,226,12,22,36,42,58,136,144,98,3.406,7.995,10.1836,8.9098,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,9.2416,21.128,21.128,22.6176,49,56,56,63,3,3,3,9,18,18,15,0.5625,1.1325,1.1325,1.1175,1.26,0,0,9,0,0,3,0,0,0.57,0,0,2.17,2.17,1.68,13,13,12,3,3,4,0.74,0.74,0.76,2.7556,30.9424,57.104,29.216,576,1032,840,192,15,8,126,162,48,1.6129,5.6896,9.0805,3.7592,-8.68,-9.5,-4.32,101,325,184,15,63,40,3.14,11.9,7.2,784,1204,980,224,125,385,216,25,4,1
2,145.8469,240.8796,617.7288,467.3568,1685,3876,5168,4400,15,32,62,52,94,228,314,212,9.7103,22.9652,38.8418,33.2836,10.9096,0,0,0,176.5,0,0,0,1,0,0,0,0,0,0,0,0.7565,0,0,0,60.3394,83.181,117.5104,94.6688,328,456,640,512,6,10,12,8,22,42,28,8,3.3174,5.6826,6.6284,4.2632,10.9096,0,0,0,176.5,0,0,0,0,0,0,0,0,0,0,0.7565,0,0,0,11.8336,8.772,20.6056,23.6672,64,48,112,128,1,2,2,1,3,4,2,0.5329,0.5621,1.095,1.0658,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.89,0,2,2,0,-2,-2,0,-0.04,-0.04,0,3.3489,37.2588,18.666,25.1808,676,1482,624,832,4,4,60,72,24,1.5625,5.8,3.85,3.65,-9.38,-2.88,-6.44,99,80,72,26,12,20,2.86,1.92,2.08,961,1767,744,992,129,100,92,5,5,2
1,131.7425,260.4704,540.456,982.08,1014,2488,2366,1032,21,40,84,140,124,348,520,452,6.7949,18.8904,33.0852,38.4652,16.6736,15.136,4.84,0,65,16,1,0,2,2,1,0,3,4,1,0,0.6698,0.5402,0.1369,0,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,11.8336,7.568,0,0,64,8,0,0,1,0,0,2,2,0,0,0.5329,0.2701,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,1.24,0,0,7,0,0,1,0,0,0.36,0,0,2.52,0,0,18,0,0,6,0,0,1.14,0,0,3.3489,34.8432,56.364,0,676,1144,364,0,14,0,120,84,0,1.5625,5.575,6.475,0,-8.06,-5.18,0,112,350,0,16,70,0,3.04,12.32,0,900,1320,420,0,136,406,0,20,4,5
2,171.343,366.727,812.9784,1366.452,1181,2956,4152,3080,28,58,128,218,186,552,928,898,10.0628,28.395,54.2164,69.2446,13.78885,7.752,0,0,74.5,42,0,0,1.5,1,0,0,1,1,0,0,0.84415,0.5775,0,0,70.2082,142.397,212.992,233.0272,178,344,328,226,12,22,36,42,58,136,144,98,3.406,7.995,10.1836,8.9098,9.16805,3.876,0,0,50,21,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28875,0,0,9.2416,21.128,21.128,22.6176,49,56,56,63,3,3,3,9,18,18,15,0.5625,1.1325,1.1325,1.1175,-0.245,0,0,-0.5,0,0,0,0,0,0.01,0,0,2.17,2.17,1.68,13,13,12,3,3,4,0.74,0.74,0.76,3.3489,33.2145,56.4372,32.208,676,1092,1014,208,13,8,114,150,48,1.5625,5.625,8.4875,3.7,-7.17,-7.05,-2.96,114,299,200,17,53,40,3,9.46,7.04,961,1302,1209,248,144,364,240,15,5,2
