"D_mc.chi.1.all","D_mc.Z.1.all","mc.Z.1.all","D_mc.S.1.all","mc.S.1.all","mc.Z.0.all","mc.Z.2.all","mc.S.0.all","mc.chi.0.all","alpha","D_lc.Z.1.eq","D_lc.chi.1.eq","lc.Z.0.eq","lc.chi.0.eq","mc.chi.1.all","D_mc.chi.2.all","mc.S.2.all","D_mc.Z.2.all","f.S.1.all","f.S.2.all","D_mc.S.2.all","f.chi.3.all","f.S.0.all","mc.chi.2.all","f.Z.1.all","f.Z.3.all","f.Z.2.all","f.chi.0.all","f.Z.0.all","f.chi.1.all","f.S.3.all","f.chi.2.all","mc.S.3.all","mc.chi.3.all","lc.Z.0.ax","D_mc.Z.3.all","lc.chi.0.ax","D_mc.S.3.all","f.I.3.all","D_lc.Z.1.ax","ox2","ox3","d3","d4","d5","d6","d7","d8"
-6.34,96,1560,2.46,6.3,676,1872,1.5625,3.3489,0.2,2,0.98,49,9.2416,31.6956,-8.64,11.55,240,121.8784,213.2304,5.76,3962.076,44.4811,55.998,9168,20472,15264,637.0831,3376,1506.8952,292.992,2773.7312,19.1,106.872,256,520,6.6564,14.72,660,20,0,1,0,0,1,0,0,0
-11.34,102,1200,3.96,6.0882,625,500,1.9321,2.4025,0.2,14,2.48,64,11.8336,31.992,-7.2,6.255,230,76.776,116.5218,9.4,2390.5484,30.9521,35.185,6136,8268,8072,504.1461,2655,1027.978,138.02,1779.2628,4.17,18.569,64,72,11.8336,2.56,344,2,1,0,0,0,1,0,0,0
-7.3,104,960,3.08,5.7658,576,1536,1.6129,2.7556,0.2,8,1.82,49,9.2416,28.6516,-11.06,11.6586,272,87.0864,152.4442,8.6,3242.358,32.0229,56.938,5792,10648,9508,500.7592,2238,1147.5352,209.688,2190.2622,11.43,75.364,36,440,6.5025,16.4,544,0,0,1,1,0,0,0,0,0
-9.18,120,1344,2.88,5.2998,784,1568,1.4641,3.6481,0.2,2,0.89,64,11.8336,39.4224,-3.9,6.1952,112,81.6768,126.7142,2.14,2297.442,31.5555,29.3376,7064,11968,10024,473.6075,2938,1034.7936,152.4404,1890.4752,9.317,48.705,64,220,11.8336,4.4,352,-8,1,0,0,0,0,0,0,1
-9.66,108,1248,3.12,5.475,676,936,1.5625,3.3489,0.2,2,0.89,64,11.8336,37.7712,-4.32,5.775,120,85.1046,135.0792,2.88,2558.2872,33.4594,27.999,6936,11568,10212,571.1487,2941,1190.7264,157.5546,2248.9386,5.775,27.999,64,120,11.8336,2.88,354,2,0,1,0,0,1,0,0,0
-6.28,116,1040,2.96,5.675,676,1820,1.5625,3.3489,0.2,0,0.09,49,9.2416,31.5858,-11.74,9.375,190,99.7856,166.3938,5,3505.206,37.9945,54.9732,6760,12656,11048,592.1979,2782,1318.5864,214.9492,2357.1406,6.7,36.051,36,170,6.5025,4.64,556,-1,1,0,0,0,0,1,0,0
-6.34,96,1560,2.46,6.3,676,1560,1.5625,3.3489,0.2,2,0.98,49,9.2416,31.6956,-7.2,9.625,200,75.0932,130.718,4.8,2442.052,27.6967,46.665,6360,12808,10180,419.6181,2430,952.2192,178.336,1822.9832,13.25,85.644,256,460,6.6564,14.4,404,10,0,1,0,0,1,0,0,0
-10.54,104,1150,3.92,6.1438,625,800,1.9321,2.4025,0.2,14,2.48,64,11.8336,30.752,-9.2,8.3956,268,31.4884,52.3474,10.64,1151.912,11.7269,43.09,3372,4240,4406,198.9565,1333,415.2224,64.2028,770.8668,6.2272,32.488,49,168,9.2416,6.64,164,2,1,0,0,0,1,0,0,0
-7.96,110,1000,3.8,6.3106,625,1650,1.9321,2.4025,0.2,8,1.82,49,9.2416,26.753,-13.58,12.7046,284,44.902,88.7914,10.32,2136.5316,15.7075,54.684,3568,6712,6364,252.0421,1375,564.48,132.892,1229.2222,10.3694,62.465,36,422,6.5025,17.56,360,-1,0,1,0,1,0,0,0,0
-5.98,122,1080,3.02,5.7204,729,1674,1.5876,3.5344,0.2,2,0.98,49,9.2416,32.4488,-7.68,9.6516,208,143.2648,248.457,4.94,5545.7936,54.8442,49.7824,9168,20922,15328,943.6294,3939,2026.3066,363.7164,3916.6584,12.5748,65.8,36,304,6.5025,7.66,876,-1,1,0,0,0,0,0,1,0
