"D_mc.chi.1.all","ox","D_mc.Z.1.all","mc.Z.1.all","D_mc.S.1.all","mc.S.1.all","mc.Z.0.all","mc.Z.2.all","mc.S.0.all","mc.chi.0.all","alpha","D_lc.Z.1.eq","D_lc.chi.1.eq","lc.Z.0.eq","lc.chi.0.eq","mc.chi.1.all","D_mc.chi.2.all","mc.S.2.all","D_mc.Z.2.all","f.S.1.all","f.S.2.all","D_mc.S.2.all","f.chi.3.all","f.S.0.all","mc.chi.2.all","f.Z.1.all","f.Z.3.all","f.Z.2.all","f.chi.0.all","f.Z.0.all","f.chi.1.all","f.S.3.all","f.chi.2.all","mc.S.3.all","mc.chi.3.all","lc.Z.0.ax","D_mc.Z.3.all","lc.chi.0.ax","D_mc.S.3.all","f.I.3.all","D_lc.Z.1.ax"
-7.88,2,112,1144,3.04,5.575,676,988,1.5625,3.3489,0.25,2,0.89,64,11.8336,34.5138,-5.3,5.725,118,36.56,59.3618,2.92,1148.0356,14.1243,29.7924,3608,5512,5052,224.6365,1478,453.7716,72.54,933.247,5.775,27.999,36,120,6.5025,2.88,160,-1
-7.88,2,112,1144,3.04,5.575,676,988,1.5625,3.3489,0.2,2,0.89,64,11.8336,34.5138,-5.3,5.725,118,36.56,59.3618,2.92,1148.0356,14.1243,29.7924,3608,5512,5052,224.6365,1478,453.7716,72.54,933.247,5.775,27.999,36,120,6.5025,2.88,160,-1
-6.96,2,120,1134,3.06,5.67,729,1944,1.5876,3.5344,0.2,2,0.98,49,9.2416,34.2912,-8.04,11.6424,252,81.564,145.1298,5.88,2697.537,29.5926,57.528,6156,14262,10914,409.234,2343,992.0904,203.6064,1847.112,14.4396,82.344,49,408,9.2416,11.22,420,2
-6.96,2,120,1134,3.06,5.67,729,1944,1.5876,3.5344,0.25,2,0.98,49,9.2416,34.2912,-8.04,11.6424,252,81.564,145.1298,5.88,2697.537,29.5926,57.528,6156,14262,10914,409.234,2343,992.0904,203.6064,1847.112,14.4396,82.344,49,408,9.2416,11.22,420,2
-4.02,2,126,972,2.94,5.8212,729,1134,1.5876,3.5344,0.3,-1,-0.49,36,6.5025,28.764,-6.96,5.67,120,35.7588,51.1602,3.06,724.608,14.5416,34.2912,3168,4680,4068,224.134,1473,445.536,56.5488,756.6954,5.8212,28.764,36,126,6.5025,2.94,108,-1
-4.32,2,120,936,2.88,5.775,676,1092,1.5625,3.3489,0.3,-1,-0.49,36,6.5025,27.999,-7.26,5.625,114,35.6664,51.0702,3,723.078,14.5165,33.3792,3096,4608,3984,223.9485,1420,444.006,56.4564,754.8714,5.775,27.999,36,120,6.5025,2.88,108,-1
-7.26,2,114,1092,3,5.625,676,468,1.5625,3.3489,0.1,18,2.52,49,9.2416,33.3792,-6.66,8.325,450,21.24,38.4534,15.84,1203.84,7.4017,72.468,2436,1260,2442,145.9185,988,307.5264,49.95,596.424,0,0,49,0,9.2416,0,180,18
-9.36,2,114,1296,3.18,5.5188,729,324,1.5876,3.5344,0.25,14,2.48,64,11.8336,38.8032,-3.84,5.5944,312,17.52,28.8186,10.68,908.16,6.4278,49.632,2784,960,2580,132.616,1125,259.2384,32.412,512.352,0,0,64,0,11.8336,0,120,14
-5.98,2,122,1080,3.02,5.7204,729,1242,1.5876,3.5344,0.3,13,2.17,49,9.2416,32.4488,-7.56,9.5004,332,70.5816,121.0394,10.1,2744.5796,26.1278,63.6944,4936,7224,7412,431.329,2001,963.5276,160.314,1809.195,5.67,42.676,36,250,6.5025,8.1,456,-1
-4.32,2,120,936,2.88,5.775,676,1248,1.5625,3.3489,0.1,-2,-0.89,36,6.5025,27.999,-9.66,5.475,108,18.2952,28.737,3.12,526.32,8.3173,37.7712,2448,2880,3576,113.3655,1276,161.262,33.726,270.6174,0,0,36,0,6.5025,0,60,-2
