name,mad,job_name,alpha,unique_num,metal,smi_num,eqlig,axlig1,axlig2,eq_con,ax_con1,ax_con2,ligcharge,oxstate,spinmult,flag_oct_loose,flag_conv,geo_use,ss_use,ss_label,ss_del,ss_target,ss_actual,flag_oct,flag_list,flag_init,flag_list_init,num_coord_metal,rmsd_max,oct_angle_devi_max,max_del_sig_angle,dist_del_eq,dist_del_all,devi_linear_avrg,devi_linear_max
undef,rs1,1515_co_3_eq_16_ax1_3_ax2_16_1,20,1515,co,co_carbonyl_water_carbonyl,carbonyl,water,carbonyl,-1,-1,-1,0,3,1,1,1,1,0,1,0.0,0.0,0.0,1,None,1,None,6,0.0089485,0.866518392,2.072168357,0.000867767,0.025152874,1.247152563,2.300708903
cr_2_eq_[OH]-[OH]_ax1_[OH]-[OH]_ax2_[OH]-[OH]_ahf_20_5,neutralMono,gen_0_slot_656_0_2_231_231_231_20_5,20,656,cr,0_231_231_231,[OH]-[OH],[OH]-[OH],[OH]-[OH],-1,-1,-1,0,2,5,0,1,1,1,1,0.009261,6.0,6.009261,0,oct_angle_devi_max,1,None,6,0.001590307,12.55539291,21.84661835,0.0088788,0.444445027,0,0
fe_3_eq_[SH-]_ax1_[SH-]_ax2_[SH-]_ahf_20_2,chargedMono,gen_0_slot_69_2_3_24_24_24_20_2,20,69,fe,2_24_24_24,[SH-],[SH-],[SH-],-1,-1,-1,-6,3,2,0,0,1,0,1,0.943783,0.75,1.6937830000000003,0,num_coord_metal,1,None,4,-1,-1,-1,-1,-1,-1,-1
fe_3_eq_[PH]-[NH]-[NH]-[PH]_ax1_[PH]-[NH]-[NH]-[PH]_ax2_[PH]-[NH]-[NH]-[PH]_ahf_20_6,neutralBi,gen_0_slot_461_2_3_101_101_101_20_6,20,461,fe,2_101_101_101,[PH]-[NH]-[NH]-[PH],[PH]-[NH]-[NH]-[PH],[PH]-[NH]-[NH]-[PH],-1,-1,-1,0,3,6,0,0,1,0,1,0.18315499999999998,8.75,8.933155000000001,0,num_coord_metal,1,None,3,-1,-1,-1,-1,-1,-1,-1
undef,rs1,1246_mn_2_eq_18_ax1_3_ax2_18_2,20,1246,mn,mn_misc_water_misc,misc,water,misc,-1,-1,-1,0,2,2,1,1,1,1,1,0.021597,0.75,0.771597,1,None,1,None,6,0.047320293,1.222720394,2.384682062,0.001048,0.105281948,0.982199994,1.277601588
cr_2_eq_[P]#[S-]_ax1_[P]#[S-]_ax2_[P]#[S-]_ahf_20_5,chargedMono,gen_0_slot_776_0_2_324_324_324_20_5,20,776,cr,0_324_324_324,[P]#[S-],[P]#[S-],[P]#[S-],-1,-1,-1,-6,2,5,0,0,1,1,0,4.467752,6.0,10.467752,0,num_coord_metal,1,None,3,-1,-1,-1,-1,-1,-1,-1
fe_3_eq_[N]-[S]-[S]-[N]_ax1_[N]-[S]-[S]-[N]_ax2_[N]-[S]-[S]-[N]_ahf_20_6,neutralBi,gen_0_slot_293_2_3_50_50_50_20_6,20,293,fe,2_50_50_50,[N]-[S]-[S]-[N],[N]-[S]-[S]-[N],[N]-[S]-[S]-[N],-1,-1,-1,0,3,6,0,0,1,0,0,1.449082,8.75,10.199082,0,rmsd_max,1,None,6,lig_mismatch,10.39539563,17.56984241,0.146892649,0.466480494,3.192061157,4.799082355
cr_3_eq_[OH2-]-[O+]_ax1_[OH2-]-[O+]_ax2_[OH2-]-[O+]_ahf_20_4,neutralMono,gen_0_slot_617_0_3_215_215_215_20_4,20,617,cr,0_215_215_215,[OH2-]-[O+],[OH2-]-[O+],[OH2-]-[O+],-1,-1,-1,0,3,4,0,0,1,0,1,0.9905299999999999,3.75,4.740530000000001,0,num_coord_metal,1,None,5,-1,-1,-1,-1,-1,-1,-1
fe_3_eq_[O]=[S]_ax1_[O]=[S]_ax2_[O]=[S]_ahf_20_2,neutralMono,gen_0_slot_717_2_3_247_247_247_20_2,20,717,fe,2_247_247_247,[O]=[S],[O]=[S],[O]=[S],-1,-1,-1,0,3,2,1,1,1,1,0,7.181761999999999,0.75,7.931761999999999,1,None,1,None,6,0.092598592,1.313220343,2.406155466,0.010494971,0.077126041,0,0
undef,rs1,1373_fe_3_eq_16_ax1_9_ax2_16_2,20,1373,fe,fe_carbonyl_pyr_carbonyl,carbonyl,pyr,carbonyl,-1,-1,-1,0,3,2,1,1,1,1,1,0.016238,0.75,0.766238,1,None,1,None,6,0.039672252,2.385514537,5.698820017,0.003555249,0.324039647,1.127618773,2.454490767
cr_2_eq_[NH2-]-[CH]=[CH]-[NH2-]_ax1_[NH2-]-[CH]=[CH]-[NH2-]_ax2_[NH2-]-[CH]=[CH]-[NH2-]_ahf_20_5,chargedBi,gen_0_slot_8_0_2_23_23_23_20_5,20,8,cr,0_23_23_23,[NH2-]-[CH]=[CH]-[NH2-],[NH2-]-[CH]=[CH]-[NH2-],[NH2-]-[CH]=[CH]-[NH2-],-1,-1,-1,-12,2,5,0,0,1,1,0,2.0069209999999997,6.0,8.006921,0,num_coord_metal,1,None,0,-1,-1,-1,-1,-1,-1,-1
