ox_3,ox_2,H-L_1,H-L_0,num_d_electron_6,num_d_electron_7,num_d_electron_5,num_d_electron_4,num_d_electron_3,charge_lig,charge_ox,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-0-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-0-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-0-ax,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-0-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-I-0-ax,D_lc-I-1-ax,D_lc-I-2-ax,D_lc-I-3-ax,D_lc-T-0-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-0-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-0-eq,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-0-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-I-0-eq,D_lc-I-1-eq,D_lc-I-2-eq,D_lc-I-3-eq,D_lc-T-0-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-0-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all
0,1,1,0,0,0,0,1,0,0,2,202.8388,392.16,648.9888,1266.0,1356,3264,4704,4620,25,48,78,144,126,348,546,624,9.6505,24.0024,39.2334,55.4616,33.3472,53.9392,30.272,9.68,130,160,32,2,4.0,6,4,2,10,16,8,2,1.3396,2.1462,1.0804,0.2738,33.3472,53.9392,30.272,9.68,130,160.0,32.0,2.0,4.0,6.0,4.0,2.0,10.0,16.0,8.0,2.0,1.3396,2.1462,1.0804,0.2738,11.8336,19.4016,7.568,0.0,64.0,72,8.0,0,1.0,2.0,1.0,0.0,4.0,6.0,2.0,0.0,0.5329,0.8029999999999999,0.2701,0.0,11.8336,19.4016,7.568,0.0,64.0,72.0,8.0,0.0,1.0,2.0,1.0,0.0,4.0,6.0,2.0,0.0,0.5329,0.8029999999999999,0.2701,0.0,0.0,1.24,1.24,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.36,0.36,0.0,0.0,1.24,1.24,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.36,0.36,0.0,2.7556,34.2624,56.1744,21.912,576.0,1152.0,1296.0,144.0,1.0,6.0,12.0,6.0,36.0,108.0,108.0,36.0,1.6129,5.5626,8.382,2.8194,0.0,-10.68,-13.92,-3.24,0.0,96.0,234.0,138.0,0.0,0.0,0.0,0.0,0.0,18.0,54.0,30.0,0.0,3.24,8.64,5.4
0,1,0,1,0,0,1,0,0,0,2,207.7491,403.801,699.075,734.681,1311,2952,3652,4040,34,66,116,110,182,408,456,560,13.5338,33.9098,48.596000000000004,53.523,29.1401,47.47,45.9265,16.83,95,118,61,18,4.5,7,8,3,15,26,14,3,1.48285,2.5499,1.973,0.8547,36.7666,64.668,82.17299999999999,33.66,124,204.0,120.0,36.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.1590000000000003,4.0194,3.6722,1.7094,9.16805,11.444,3.25125,8.415,50.0,29,18.0,9,1.0,1.5,0.5,1.5,2.5,3.0,2.0,1.5,0.5629,0.55885,0.29645,0.42735,6.5025,7.752000000000001,6.5025,16.83,36.0,42.0,36.0,18.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5929,0.5775,0.5929,0.8547,0.0,0.995,0.0,0.525,0.0,6.5,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.5,-1.5,0.0,0.0,0.37,0.0,0.6,0.0,-0.49,0.0,1.05,0.0,-1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0,0.02,0.0,1.2,2.4025,25.0945,30.38,19.7625,625.0,950.0,925.0,750.0,1.0,6.0,7.0,5.0,36.0,78.0,72.0,120.0,1.9321,6.3662,6.2411,5.3515,0.0,-6.89,-8.75,-5.0,0.0,112.0,138.0,95.0,0.0,0.0,0.0,0.0,0.0,23.0,30.0,10.0,0.0,3.76,5.24,3.1
0,1,1,0,0,0,0,1,0,-6,-4,71.4706,111.4272,195.2766,339.01199999999994,3462,7200,11358,14400,13,24,42,60,66,168,192,120,14.5969,29.1288,49.2528,64.872,11.4525,11.3004,0.0,0.0,481,480,0,0,2.0,2,0,0,2,2,0,0,2.164,2.1624,0.0,0.0,11.4525,11.3004,0.0,0.0,481,480.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.164,2.1624,0.0,0.0,4.7961,5.6502,0.0,0.0,225.0,240,0.0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.1236,1.0812,0.0,0.0,4.7961,5.6502,0.0,0.0,225.0,240.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.1236,1.0812,0.0,0.0,0.0,-0.39,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,-0.39,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,2.7556,21.8124,25.6968,0.0,576.0,2160.0,2304.0,0.0,1.0,6.0,6.0,0.0,36.0,72.0,36.0,0.0,1.6129,8.0772,7.7724,0.0,0.0,-3.18,-5.52,0.0,0.0,54.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,30.0,0.0,0.0,1.26,1.5,0.0
1,0,0,1,0,0,1,0,0,0,3,114.2889,182.0448,411.6648,532.512,2596,4032,6912,7680,13,24,42,60,66,168,192,120,11.0023,19.8852,31.287,44.676,18.49,17.7504,0.0,0.0,320,256,0,0,2.0,2,0,0,2,2,0,0,1.5733,1.4892,0.0,0.0,18.49,17.7504,0.0,0.0,320,256.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.5733,1.4892,0.0,0.0,11.8336,8.8752,0.0,0.0,64.0,128,0.0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5329,0.7446,0.0,0.0,11.8336,8.8752,0.0,0.0,64.0,128.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5329,0.7446,0.0,0.0,0.0,0.86,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,0.0,0.0,0.0,0.86,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,0.0,0.0,3.3489,37.7712,28.3284,0.0,676.0,1248.0,2496.0,0.0,1.0,6.0,6.0,0.0,36.0,72.0,36.0,0.0,1.5625,5.475,7.65,0.0,0.0,-9.66,-4.5,0.0,0.0,108.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,30.0,0.0,0.0,3.12,1.38,0.0
1,0,0,1,0,0,1,0,0,0,3,160.9835,284.6394,488.728,817.0219999999999,1410,2920,4424,4288,22,44,76,112,120,314,440,448,11.402999999999999,27.0232,43.3296,55.8072,42.1451,78.336,99.77,98.37299999999999,167,306,290,180,6.5,12,16,17,28,64,76,56,2.66865,5.5132,6.3608,5.1451,18.3361,17.544,0.0,0.0,100,96.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1258,1.1242,0.0,0.0,7.87205,12.138,14.44,10.564,42.5,66,49.0,28,1.0,1.5,2.0,1.5,2.5,6.5,8.0,5.0,0.5777,0.85855,0.855,0.56625,6.5025,8.772,0.0,0.0,36.0,48.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5929,0.5621,0.0,0.0,0.0,0.045,1.33,1.085,0.0,0.0,7.0,6.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.5,0.0,0.0,0.36,0.37,0.0,-0.89,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,3.3489,28.8957,40.809,17.385,676.0,962.0,1352.0,364.0,1.0,6.0,7.0,4.0,36.0,78.0,66.0,48.0,1.5625,5.75,6.4875,2.85,0.0,-4.81,-9.49,-2.18,0.0,119.0,130.0,90.0,0.0,0.0,0.0,0.0,0.0,23.0,31.0,16.0,0.0,2.9,3.56,2.72
0,1,1,0,0,0,0,1,0,-6,-4,184.3402,420.4278,849.012,1578.576,1104,2976,4590,3402,31,66,138,246,204,618,1152,1278,11.0095,31.9962,62.0466,80.9334,60.5282,119.95700000000001,144.44,138.5152,176,320,272,184,10.0,18,24,24,42,90,88,64,3.1322,6.8554,7.3864,5.8832,60.5282,119.95700000000001,144.44,138.5152,176,320.0,272.0,184.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,3.1322,6.8554,7.3864,5.8832,9.2416,21.128,14.44,15.9296,49.0,56,49.0,56,1.0,3.0,2.0,2.0,9.0,15.0,12.0,12.0,0.5625,1.1325,0.855,0.84,9.2416,21.128,14.44,15.9296,49.0,56.0,49.0,56.0,1.0,3.0,2.0,2.0,9.0,15.0,12.0,12.0,0.5625,1.1325,0.855,0.84,0.0,2.17,1.33,0.84,0.0,13.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.74,0.36,0.38,0.0,2.17,1.33,0.84,0.0,13.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.74,0.36,0.38,2.7556,30.2784,69.222,21.912,576.0,1008.0,1152.0,144.0,1.0,6.0,18.0,6.0,36.0,144.0,180.0,36.0,1.6129,5.715,11.5062,2.8194,0.0,-8.28,-11.82,-3.24,0.0,102.0,384.0,138.0,0.0,0.0,0.0,0.0,0.0,12.0,78.0,30.0,0.0,3.12,13.8,5.4
0,1,0,1,0,1,0,0,0,0,2,234.891,474.7144,813.6339999999999,948.596,1559,3426,4792,5508,38,76,132,144,208,490,624,776,15.5609,38.696,58.3238,71.0648,42.1451,78.336,99.77,98.37299999999999,167,306,290,180,6.5,12,16,17,28,64,76,56,2.66865,5.5132,6.3608,5.1451,36.7666,64.668,82.17299999999999,33.66,124,204.0,120.0,36.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.1590000000000003,4.0194,3.6722,1.7094,7.87205,12.138,14.44,10.564,42.5,66,49.0,28,1.0,1.5,2.0,1.5,2.5,6.5,8.0,5.0,0.5777,0.85855,0.855,0.56625,6.5025,7.752000000000001,6.5025,16.83,36.0,42.0,36.0,18.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5929,0.5775,0.5929,0.8547,0.0,0.045,1.33,1.085,0.0,0.0,7.0,6.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.5,0.0,0.0,0.36,0.37,0.0,-0.49,0.0,1.05,0.0,-1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0,0.02,0.0,1.2,3.5344,29.6852,38.916,37.036,729.0,999.0,1296.0,1026.0,1.0,6.0,7.0,8.0,36.0,78.0,90.0,144.0,1.5876,5.796,6.6402,6.7536,0.0,-4.51,-7.54,-4.66,0.0,125.0,141.0,178.0,0.0,0.0,0.0,0.0,0.0,23.0,27.0,24.0,0.0,2.96,3.55,4.72
0,1,1,0,1,0,0,0,0,0,2,143.2881,313.3632,583.4736,925.1328,1270,3150,4638,2856,19,42,78,120,120,348,582,492,9.1339,24.705,43.755,46.98,46.6464,82.2016,63.7184,45.2352,198,322,224,126,6.0,10,8,6,18,32,24,16,2.5238,4.485,3.36,2.235,46.6464,82.2016,63.7184,45.2352,198,322.0,224.0,126.0,6.0,10.0,8.0,6.0,18.0,32.0,24.0,16.0,2.5238,4.485,3.36,2.235,9.2416,15.9296,9.2416,9.2416,49.0,56,49.0,49,1.0,2.0,1.0,1.0,4.0,6.0,4.0,4.0,0.5625,0.84,0.5625,0.5625,9.2416,15.9296,9.2416,9.2416,49.0,56.0,49.0,49.0,1.0,2.0,1.0,1.0,4.0,6.0,4.0,4.0,0.5625,0.84,0.5625,0.5625,0.0,0.84,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.84,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38,0.0,0.0,3.3489,33.3792,57.5352,0.0,676.0,1092.0,1248.0,0.0,1.0,6.0,12.0,0.0,36.0,108.0,108.0,0.0,1.5625,5.625,8.4,0.0,0.0,-7.26,-9.48,0.0,0.0,114.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,54.0,0.0,0.0,3.0,8.28,0.0
1,0,0,1,0,0,0,0,1,0,3,157.6672,293.5908,532.863,1073.214,2160,5832,9390,7512,31,60,114,216,174,504,876,1056,14.3761,38.7804,69.9072,104.9604,25.8186,41.661,41.756,19.36,264,252,56,4,5.0,8,8,4,16,28,16,4,2.1272,3.7710000000000004,2.1978,0.5476,25.8186,41.661,41.756,19.36,264,252.0,56.0,4.0,5.0,8.0,8.0,4.0,16.0,28.0,16.0,4.0,2.1272,3.7710000000000004,2.1978,0.5476,4.7961,15.2205,4.8180000000000005,0.0,225.0,120,15.0,0,1.0,3.0,1.0,0.0,9.0,12.0,3.0,0.0,1.1236,1.6006,0.3922,0.0,4.7961,15.2205,4.8180000000000005,0.0,225.0,120.0,15.0,0.0,1.0,3.0,1.0,0.0,9.0,12.0,3.0,0.0,1.1236,1.6006,0.3922,0.0,0.0,-0.38,-0.01,0.0,0.0,37.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.67,0.69,0.0,0.0,-0.38,-0.01,0.0,0.0,37.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.67,0.69,0.0,2.7556,21.8124,69.222,21.912,576.0,2160.0,1152.0,144.0,1.0,6.0,18.0,6.0,36.0,144.0,144.0,36.0,1.6129,8.0772,11.5062,2.8194,0.0,-3.18,-11.82,-3.24,0.0,54.0,384.0,138.0,0.0,0.0,0.0,0.0,0.0,12.0,84.0,30.0,0.0,1.26,13.8,5.4
0,1,1,0,0,1,0,0,0,0,2,169.6078,378.9198,782.064,1191.48,2499,6888,11712,6720,31,66,138,216,204,588,1002,1068,13.8516,39.771,78.8304,90.5796,55.3578,106.905,158.404,158.6008,590,568,588,680,10.0,18,28,30,46,104,100,56,4.088,8.1162,10.1272,8.43,55.3578,106.905,158.404,158.6008,590,568.0,588.0,680.0,10.0,18.0,28.0,30.0,46.0,104.0,100.0,56.0,4.088,8.1162,10.1272,8.43,6.6564,12.255,17.930999999999997,18.0084,256.0,112,128.0,288,1.0,2.0,3.0,3.0,4.0,10.0,12.0,8.0,1.0404,1.1628,1.5402,1.7952,6.6564,12.255,17.930999999999997,18.0084,256.0,112.0,128.0,288.0,1.0,2.0,3.0,3.0,4.0,10.0,12.0,8.0,1.0404,1.1628,1.5402,1.7952,0.0,0.41,0.79,0.76,0.0,25.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.9,1.55,1.3,0.0,0.41,0.79,0.76,0.0,25.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.9,1.55,1.3,3.5344,29.1024,53.58,49.632,729.0,2592.0,1134.0,324.0,1.0,6.0,12.0,12.0,36.0,108.0,180.0,72.0,1.5876,7.7112,8.6184,5.5944,0.0,-4.2,-5.94,-3.84,0.0,66.0,282.0,312.0,0.0,0.0,0.0,0.0,0.0,18.0,42.0,60.0,0.0,1.44,8.28,10.68
